HATS-20           	0.273	0.776	0.55	1147
HATS-21           	0.332	1.123	0.219	1284
HATS-22           	2.74	0.953	2.93	858
HATS-23           	1.47	1.86	0.22	1654
HATS-24           	2.44	1.487	0.69	2067
HATS-25           	0.613	1.26	0.29	1277
HATS-26           	0.65	1.75	0.115	1918
HATS-27           	0.53	1.5	0.136	1659
HATS-28           	0.672	1.194	0.36	1253
HATS-29           	0.653	1.251	0.309	1212
HATS-30           	0.706	1.175	0.409	1414
HATS-31           	0.88	1.64	0.183	1823
HATS-32           	0.92	1.249	0.44	1437
HATS-33           	1.192	1.23	0.6	1429
HATS-34           	0.941	1.43	0.3	1445
HATS-35           	1.222	1.464	0.365	2037
HATS-36           	3.216	1.235	1.6	1356
HATS-39           	0.63	1.57	0.152	1645
HATS-40           	1.59	1.58	0.37	2101
HATS-41           	9.7	1.33	3.8	1710
HATS-42           	1.88	1.4	0.63	1856
HATS-43           	0.261	1.18	0.143	1003
HATS-44           	0.56	1.067	0.42	1161
HATS-45           	0.7	1.286	0.31	1518
HATS-46           	0.173	0.903	0.21	1054
HATS-50           	0.39	1.13	0.25	1348
HATS-51           	0.768	1.41	0.26	1553
HATS-52           	2.24	1.382	0.8	1834
HATS-53           	0.595	1.34	0.23	1312
HATS-54           	0.76	1.067	0.58	1625
HATS-55           	0.921	1.251	0.443	1367
HATS-56           	0.602	1.688	0.117	1902
HATS-57           	3.147	1.139	1.998	1413
HATS-58           	1.03	1.095	0.724	1721
HATS-59           	0.806	1.126	0.53	1128
HATS-60           	0.65	1.194	0.356	1529
HATS-61           	3.4	1.201	1.83	1227
HATS-63           	0.96	1.207	0.505	1398
HATS-64           	0.93	1.674	0.184	1797
HATS-65           	0.793	1.479	0.229	1623
HATS-66           	5.5	1.5	1.54	1999
HATS-67           	1.477	1.694	0.281	2196
HATS-68           	1.286	1.284	0.572	1750
HATS-70           	12.9	1.384	5	2730
HATS-71           	0.45	1.08	0.33	568
HD_001397         	0.419	1.023	0.367	1228
HD_015337b        	0.024	0.1414	7.9	989
HD_015337c        	0.0232	0.206	2.5	644
HD_017156         	3.262	1.065	2.52	883
HD_021749         	0.073	0.253	4.3	423
HD_080606         	4.114	1.003	3.82	405
HD_097658         	0.0238	0.2005	2.94	757
HD_106315b        	0.04	0.218	3.5	1153
HD_106315c        	0.048	0.388	0.76	886
HD_119130         	0.077	0.235	5.6	795
HD_149026         	0.368	0.813	0.68	1634
HD_189733         	1.15	1.151	0.75	1191
HD_202772         	1.008	1.562	0.249	2132
HD_209458         	0.714	1.38	0.272	1459
HD_213885         	0.0278	0.1557	6.9	1265
HD_219134b        	0.0149	0.1429	4.76	1015
HD_219134c        	0.0137	0.1348	5.22	782
HD_219666         	0.0522	0.42	0.656	1073
K2-002            	0.037	0.226	3.14	690
K2-018b           	0.0271	0.242	1.8	265
K2-024b           	0.057	0.482	0.482	767
K2-024c           	0.0484	0.669	0.151	606
K2-027b           	0.097	0.4	1.41	902
K2-029            	0.73	1.19	0.43	1171
K2-030            	0.625	1.197	0.363	1152
K2-032b           	0.0519	0.458	0.56	817
K2-032d           	0.032	0.306	1.04	537
K2-034            	1.649	1.217	0.92	1670
K2-036b           	0.0123	0.128	5.4	1224
K2-036c           	0.0245	0.285	1	788
K2-039            	0.125	0.509	0.88	1670
K2-055            	0.138	0.395	2.1	900
K2-056            	0.051	0.199	5.9	546
K2-060            	0.426	0.683	1.3	1400
K2-066            	0.067	0.222	5.9	1372
K2-096b           	0.0158	0.152	4.2	1759
K2-096c           	0.0308	0.269	1.49	548
K2-098            	0.101	0.38	1.62	1102
K2-106b           	0.0242	0.136	9	2242
K2-106c           	0.0214	0.231	1.8	771
K2-107            	0.84	1.44	0.26	1780
K2-108            	0.187	0.471	1.67	1446
K2-110            	0.0525	0.231	3.9	640
K2-111            	0.027	0.17	5	1309
K2-113            	1.29	0.93	1.48	1178
K2-135b           	0.0154	0.1407	5.22	1114
K2-135c           	0.0026	0.1107	1.8	771
K2-135d           	0.0127	0.1804	2.02	646
K2-139            	0.387	0.808	0.69	565
K2-140            	1.019	1.095	0.726	1114
K2-141b           	0.016	0.135	6.2	2039
K2-180            	0.036	0.2	4.2	729
K2-216            	0.023	0.16	5.7	1103
K2-229b           	0.0081	0.1038	6.7	1960
K2-232            	0.408	1.08	0.302	999
K2-234            	0.112	0.612	0.459	1053
K2-237            	1.231	1.57	0.318	1817
KELT-01           	27.38	1.116	18.5	2423
KELT-03           	1.477	1.345	0.57	1811
KELT-04           	0.902	1.699	0.172	1823
KELT-06           	0.43	1.193	0.234	1313
KELT-07           	1.28	1.533	0.333	2048
KELT-08           	0.867	1.86	0.126	1675
KELT-09           	2.88	1.891	0.4	4050
KELT-10           	0.679	1.399	0.232	1377
KELT-11           	0.171	1.35	0.07	1712
KELT-15           	1.196	1.52	0.317	1904
KELT-16           	2.75	1.415	0.9	2453
KELT-17           	1.31	1.525	0.35	2087
KELT-18           	1.18	1.57	0.284	2085
KELT-23           	0.938	1.322	0.38	1561
Kepler-004        	0.075	0.368	1.41	1620
Kepler-005        	2.034	1.209	1.077	1692
Kepler-006        	0.633	1.169	0.37	1451
Kepler-007        	0.453	1.649	0.094	1619
Kepler-008        	0.59	1.381	0.21	1662
Kepler-010b       	0.0117	0.1311	4.87	2169
Kepler-010c       	0.0232	0.2097	2.37	584
Kepler-012        	0.43	1.706	0.081	1485
Kepler-014        	7.68	1.126	5.04	1605
Kepler-015        	0.696	1.289	0.304	1251
Kepler-016        	0.333	0.7538	0.727	185
Kepler-017        	2.34	1.31	0.974	1712
Kepler-020b       	0.0305	0.1667	6.2	1105
Kepler-020c       	0.0401	0.2718	1.9	772
Kepler-020d       	0.032	0.2448	2	401
Kepler-021        	0.016	0.1462	4.8	2025
Kepler-022        	0.022	0.214	1.8	262
Kepler-036b       	0.0136	0.1329	5.62	978
Kepler-036c       	0.0247	0.3283	0.67	928
Kepler-039        	19.1	1.11	13.1	853
Kepler-040        	2.16	1.44	0.67	1744
Kepler-041        	0.56	1.29	0.25	1790
Kepler-043        	3.09	1.115	2.09	1603
Kepler-044        	1	1.09	0.7	1544
Kepler-045        	0.5	0.999	0.469	787
Kepler-046b       	0.885	0.81	1.56	543
Kepler-051b       	0.0066	0.633	0.02	543
Kepler-051c       	0.0126	0.8	0.035	439
Kepler-051d       	0.0239	0.865	0.02	381
Kepler-068b       	0.019	0.2061	2.5	1280
Kepler-074        	0.63	0.96	0.66	1078
Kepler-075        	10.1	1.05	8.3	767
Kepler-077        	0.43	0.96	0.455	1440
